-0.229268	0.00167473
-0.217805	0.00283551
-0.206341	0.00388183
-0.194878	0.00485558
-0.183415	0.00577174
-0.171951	0.00663622
-0.160488	0.00745118
-0.149024	0.00821695
-0.137561	0.00893289
-0.126098	0.00959783
-0.114634	0.0102104
-0.103171	0.010769
-0.0917073	0.0112722
-0.0802439	0.0117186
-0.0687805	0.0121069
-0.0573171	0.012436
-0.0458537	0.0127051
-0.0343902	0.0129137
-0.0229268	0.0130617
-0.0114634	0.0131498
-2.77556e-17	0.0131873
0.0114634	0.0131498
0.0229268	0.0130617
0.0343902	0.0129137
0.0458537	0.0127051
0.0573171	0.012436
0.0687805	0.0121069
0.0802439	0.0117186
0.0917073	0.0112722
0.103171	0.010769
0.114634	0.0102104
0.126098	0.00959783
0.137561	0.00893289
0.149024	0.00821695
0.160488	0.00745118
0.171951	0.00663622
0.183415	0.00577174
0.194878	0.00485558
0.206341	0.00388183
0.217805	0.00283551
0.229268	0.00167473
